ensgid	gene_name	hg38_chr	hg38_start0	hg38_end	hg38_strand	hg19_chr	hg19_start0	hg19_end	hg19_strand
ENSG00000186092	OR4F5	chr1	65418	71585	+	chr1	65418	71585	+
ENSG00000284733	OR4F29	chr1	450739	451678	-	""			""
ENSG00000284662	OR4F16	chr1	685715	686654	-	chr1	621095	622034	-
ENSG00000187634	SAMD11	chr1	923922	944575	+	chr1	859302	879955	+
ENSG00000188976	NOC2L	chr1	943526	960714	-	chr1	878906	896094	-
ENSG00000187961	KLHL17	chr1	960575	965719	+	chr1	895955	901099	+
ENSG00000187583	PLEKHN1	chr1	966436	975865	+	chr1	901816	911245	+
ENSG00000187642	PERM1	chr1	975193	982134	-	chr1	910573	917514	-
ENSG00000188290	HES4	chr1	998961	1000172	-	chr1	934341	935552	-
ENSG00000187608	ISG15	chr1	1001137	1014540	+	chr1	936517	949920	+
ENSG00000188157	AGRN	chr1	1020119	1056119	+	chr1	955499	991499	+
ENSG00000237330	RNF223	chr1	1070966	1074306	-	chr1	1006346	1009686	-
ENSG00000131591	C1orf159	chr1	1081810	1116361	-	chr1	1017190	1051741	-
ENSG00000162571	TTLL10	chr1	1173879	1197940	+	chr1	1109259	1133320	+
ENSG00000186891	TNFRSF18	chr1	1203507	1206592	-	chr1	1138887	1141972	-
ENSG00000186827	TNFRSF4	chr1	1211325	1214153	-	chr1	1146705	1149533	-
ENSG00000078808	SDF4	chr1	1216886	1238870	-	chr1	1152266	1174250	-
ENSG00000176022	B3GALT6	chr1	1232236	1235041	+	chr1	1167616	1170421	+
ENSG00000184163	C1QTNF12	chr1	1242445	1246722	-	chr1	1177825	1182102	-
ENSG00000160087	UBE2J2	chr1	1253906	1274477	-	chr1	1189286	1209857	-
ENSG00000162572	SCNN1D	chr1	1280435	1292029	+	chr1	1215815	1227409	+
ENSG00000131584	ACAP3	chr1	1292375	1309609	-	chr1	1227755	1244989	-
ENSG00000169972	PUSL1	chr1	1308566	1311677	+	chr1	1243946	1247057	+
ENSG00000127054	INTS11	chr1	1311584	1324687	-	chr1	1246964	1260067	-
ENSG00000224051	CPTP	chr1	1324755	1328897	+	chr1	1260135	1264277	+
ENSG00000169962	TAS1R3	chr1	1331279	1335314	+	chr1	1266659	1270694	+
ENSG00000107404	DVL1	chr1	1335275	1349945	-	chr1	1270655	1285325	-
ENSG00000162576	MXRA8	chr1	1352688	1361777	-	chr1	1288068	1297157	-
ENSG00000175756	AURKAIP1	chr1	1373728	1375521	-	chr1	1309108	1310901	-
ENSG00000221978	CCNL2	chr1	1385710	1399339	-	chr1	1321090	1334719	-
